Remove 	{81}	 At node50	 TIME: 	120.44153647727659
Remove 	{81}	 At node52	 TIME: 	120.44384067305285
Remove 	{81}	 At node55	 TIME: 	120.4507431166731
Remove 	{81}	 At node32	 TIME: 	120.46070947025132
Remove 	{81}	 At node58	 TIME: 	120.46961483584515
Remove 	{81}	 At node30	 TIME: 	120.47623955557421
Remove 	{81}	 At node60	 TIME: 	120.48575906462509
Remove 	{81}	 At node57	 TIME: 	120.49856744821298
Remove 	{81}	 At node48	 TIME: 	120.51572170726345
Insert 	 203	 At node34	 TIME: 	120.54147270949979
Insert 	 213	 At node21	 TIME: 	120.5496677127194
Insert 	 188	 At node34	 TIME: 	120.58904067461647
Insert 	 186	 At node15	 TIME: 	121.42939906619728
Insert 	 192	 At node10	 TIME: 	121.92799775045462
Insert 	 213	 At node22	 TIME: 	122.11391453384066
Insert 	 186	 At node50	 TIME: 	122.87485902138786
Insert 	 213	 At node5	 TIME: 	123.21181900191544
Insert 	 203	 At node29	 TIME: 	123.74334031067093
Insert 	 213	 At node29	 TIME: 	123.83597888906345
Insert 	 213	 At node17	 TIME: 	123.85078299385506
Insert 	 192	 At node38	 TIME: 	124.20702582769708
Insert 	 192	 At node4	 TIME: 	126.41993069901325
Insert 	 197	 At node40	 TIME: 	126.94687525368074
Insert 	 192	 At node40	 TIME: 	127.01494274868173
Insert 	 186	 At node40	 TIME: 	127.09947125311484
Insert 	 203	 At node13	 TIME: 	128.39266646409175
Insert 	 197	 At node16	 TIME: 	128.56078332055353
Insert 	 192	 At node16	 TIME: 	129.00219313781034
Remove 	{144}	 At node14	 TIME: 	129.1283704362679
Remove 	{144}	 At node30	 TIME: 	129.19557005880603
Remove 	{144}	 At node32	 TIME: 	129.19864923380146
Remove 	{144}	 At node31	 TIME: 	129.21753258987286
Remove 	{144}	 At node8	 TIME: 	129.22490372252912
Remove 	{144}	 At node2	 TIME: 	129.22641426825032
Remove 	{144}	 At node8	 TIME: 	129.28019624788072
Remove 	{144}	 At node3	 TIME: 	129.28195527444058
Remove 	{144}	 At node7	 TIME: 	129.29668178171528
Remove 	{144}	 At node8	 TIME: 	129.29703997510202
Remove 	{144}	 At node34	 TIME: 	129.30339391960783
Remove 	{144}	 At node9	 TIME: 	129.31000991726512
Remove 	{144}	 At node29	 TIME: 	129.31585382085436
Remove 	{144}	 At node35	 TIME: 	129.31942709052154
Remove 	{144}	 At node15	 TIME: 	129.3218939956487
Insert 	 197	 At node39	 TIME: 	129.3303236836337
Remove 	{144}	 At node37	 TIME: 	129.33115019024766
Remove 	{144}	 At node27	 TIME: 	129.35196000816146
Remove 	{144}	 At node42	 TIME: 	129.3637874724536
Remove 	{144}	 At node36	 TIME: 	129.36582307748913
Remove 	{144}	 At node10	 TIME: 	129.37025928218344
Remove 	{144}	 At node38	 TIME: 	129.377074641983
Remove 	{144}	 At node28	 TIME: 	129.38655015212592
Remove 	{144}	 At node41	 TIME: 	129.3881025967495
Remove 	{144}	 At node45	 TIME: 	129.39838776006786
Remove 	{144}	 At node40	 TIME: 	129.4047300209321
Remove 	{144}	 At node44	 TIME: 	129.4224276401045
Remove 	{144}	 At node43	 TIME: 	129.4265355111008
Insert 	 192	 At node39	 TIME: 	129.4271877745968
Insert 	 186	 At node4	 TIME: 	129.463089840941
Insert 	 186	 At node39	 TIME: 	129.4897335762769
Remove 	{144}	 At node39	 TIME: 	129.49853909069532
Insert 	 203	 At node26	 TIME: 	130.61757659014472
Insert 	 192	 At node12	 TIME: 	131.21365123282422
Insert 	 186	 At node12	 TIME: 	131.22928631378767
Insert 	 203	 At node25	 TIME: 	131.341197052336
Insert 	 203	 At node23	 TIME: 	132.01414134074147
Insert 	 188	 At node33	 TIME: 	132.4609292235465
Insert 	 192	 At node33	 TIME: 	132.51492310143004
Insert 	 203	 At node3	 TIME: 	132.56580874474923
Insert 	 197	 At node52	 TIME: 	132.9919763478098
Insert 	 192	 At node52	 TIME: 	133.0004009610681
Insert 	 197	 At node54	 TIME: 	133.26213809666817
Insert 	 192	 At node54	 TIME: 	133.26971539045186
Insert 	 188	 At node30	 TIME: 	134.67922259252234
Insert 	 192	 At node30	 TIME: 	134.77756251565071
Insert 	 203	 At node35	 TIME: 	135.8981108875439
Insert 	 188	 At node35	 TIME: 	135.95332356071683
Insert 	 197	 At node3	 TIME: 	135.99679550067523
Insert 	 192	 At node42	 TIME: 	136.0918003954862
Insert 	 186	 At node42	 TIME: 	136.15814782035122
Insert 	 197	 At node53	 TIME: 	136.82651790472895
Insert 	 192	 At node53	 TIME: 	136.9159706169972
Insert 	 203	 At node14	 TIME: 	137.661469798801
Insert 	 291	 At node14	 TIME: 	137.69374371261105
Insert 	 291	 At node8	 TIME: 	138.3388681358761
Insert 	 192	 At node41	 TIME: 	138.43714606079544
Insert 	 186	 At node41	 TIME: 	138.4959956030568
Insert 	 192	 At node32	 TIME: 	138.76788907608596
Insert 	 203	 At node32	 TIME: 	138.79796833087752
Insert 	 291	 At node32	 TIME: 	138.85232703388257
Insert 	 188	 At node36	 TIME: 	139.72712829532693
Insert 	 291	 At node36	 TIME: 	139.81569643070137
Insert 	 203	 At node9	 TIME: 	140.25523264257777
Insert 	 197	 At node9	 TIME: 	140.3446420981905
Insert 	 213	 At node18	 TIME: 	140.44928893472095
Insert 	 186	 At node3	 TIME: 	140.48893818932464
Insert 	 185	 At node2	 TIME: 	140.944733039277
